name,name_en,ward,address,gluten_free_items,phone,source_url,image_url,notes,date_added
カフェ・ド・フォルテ,Café de Forte,文京区,東京都文京区春日2-14-9 小石川Jフラッツ1階,米粉パンセット; 米粉ワッフルセット; ハヤシライス; ハンバーグプレート; サラダ; ローストビーフ; ビーフシチュー; 三色丼; 盛岡米粉冷めん; 米粉のロールケーキ; 米粉のパンケーキ; ずんだバター米粉パンケーキ（期間限定）; アサイー米粉パンケーキ（期間限定）,03-3868-0430,https://glutenfree.empacede.co.jp/cafe-gf-tokyo/,,米粉を使ったメニューが中心のカフェ。グルテンフリー度は専門ガイドで★★★★。ただし店自身が「アレルギー完全対応ではございません」と明記しており、小麦粉を使用した通常メニューも提供しているため、同一厨房でのクロスコンタミネーションのリスクがある。セリアック病など重度の方はメニューに小麦成分が含まれているか店で要確認。2024年3月オープン。営業時間9:30～15:00（火・水・金）、12:00～17:00（土曜不定期）。,2026-06-24
ビオッサ 春日店,biossa (Kasuga branch),文京区,東京都文京区春日2-10-19,ビオブレッド（米粉食パン）; ベリーフロマージュ（米粉カップケーキ）; 各種グルテンフリー米粉パン,03-3830-0676,https://biossajapan.thebase.in/,,完全グルテンフリーの米粉パン専門ベーカリー。店自身が「真のグルテンフリー、いわば完全グルテンフリーのベーカリー」と謳い、小麦アレルギー・セリアック病・グルテン不耐性の方でも安心して食べられるとしている。最寄りは茗荷谷駅徒歩10分。営業時間10:00～18:00、定休日火曜日。一部商品に乳・卵・大豆・アーモンドなど他のアレルゲンを含むため成分表示の確認を推奨。物販・ベーカリー中心（イートインの有無は要確認）。,2026-06-24
Be green by KIELO COFFEE,Be green by KIELO COFFEE,文京区,東京都文京区本郷4-37-6 メゾンドゥ本郷1階,キャロットケーキ（米粉使用、ヴィーガン）; ウィークエンドシトロン（レモンケーキ）; チーズケーキ（ヴィーガン）; オーツクッキー; 自家焙煎スペシャルティコーヒー（ハンドドリップ）; オーツミルク/アーモンドミルクのラテ,03-5615-9148,https://vegewel.com/ja/restaurant/2095,,自家焙煎スペシャルティコーヒーと、すべてヴィーガン＆グルテンフリーの焼き菓子を提供するカフェ。vegan認証取得店舗。ドリンク・デザートはすべて植物性で、焼き菓子は約6種類（日・季節で変動）。本郷三丁目駅から徒歩約3～5分。営業時間9:00～18:00（平日11～12時頃に休憩することあり）、不定休。重度のセリアック病の場合のクロスコンタミネーション対応については個別確認を推奨。,2026-06-24
Café Oriente,Café Oriente,文京区,東京都文京区小石川5-14-4 1F,グルテンフリーのスイーツメニュー（具体的な品目はメニューにて要確認）; プラントミルクのドリンク,,https://www.city.bunkyo.lg.jp/b038/p007520.html,,多国籍フードとヴィーガン・グルテンフリーのスイーツ、プラントミルクを提供するインターナショナルカフェ（英語・スペイン語・イタリア語・ポルトガル語・日本語の5カ国語対応）。文京区「ぶんきょう食べきり協力店」に掲載。グルテンフリーは一部のスイーツメニューのみで、完全グルテンフリー店ではないため、小麦使用メニューとのクロスコンタミネーションに注意。最寄りは茗荷谷駅。営業時間は平日9:30～17:00、土10:00～17:30、日祝10:00～17:00、定休日金曜日（その他不定休あり）。公式サイト: https://cafeorientetokyo.com/jp,2026-06-24
松竹圓カフェ,Shochiku-en Cafe,台東区,東京都台東区西浅草2-7-6,ヴィーガンハンバーガー（自家燻製大豆肉・グルテンフリーパン・豆乳マヨネーズ）; ヴィーガン＆グルテンフリーピザ（国産米粉の自家製生地）; レインボーケーキ（秋田県産玄米粉使用）; ストロベリーショートケーキ（秋田県産玄米粉使用）; プレミアムチョコレートケーキ; チョコレートムースケーキ,03-6802-8355,https://sho-chiku-en.com/,,公式サイトによれば全メニューがヴィーガンかつグルテンフリーで、キッチンも完全グルテンフリーと明記。完全グルテンフリー店であり、交差汚染リスクは低いとされる。営業時間・定休日は情報源により差異があるため来店前に確認推奨。,2026-06-24
まるごとVeganダイニング浅草,Marugoto Vegan Dining Asakusa,台東区,,ヴィーガンプレートのランチセット; 丼物; カレー; フォカッチャバーガー,,https://dining.marugotovegan.com/,,公式サイトによると店内提供の料理すべてがグルテンフリー・五葷食材不使用・アルコール不使用。旧店名はTHE FARM CAFE。具体的な住所・電話番号は確認できなかったため空欄。セリアック対応可否や交差汚染に関する明記は確認できず、来店前に直接確認を推奨。,2026-06-24
アトミヨソワカ 蔵前,Atomiyosowaka Kuramae,台東区,東京都台東区蔵前4-17-4,ブランチプレート（グリーンサラダ＋デリ3〜4種＋季節のディッピングソース＋主食）; 米粉ベーグル（蔵前店ブランチプレート限定）; バナナブレッド; キャロットスパイスケーキ; コーンブレッド; オリジナルドーナツ（おからと米粉）; マフィン; クッキー; 豆乳ベースのカフェラテ,070-5559-7193,https://shopblog.dmdepart.jp/ueno/uenogasuki/article/detail/?cd=000974,,大阪発のヴィーガン＆グルテンフリー専門店の2号店。2025年4月末オープン。全メニューが小麦・卵・乳製品・白砂糖不使用で、四万十川源流の米粉等を使用。焼き菓子専門店のため交差汚染リスクは低いとみられるが、セリアック対応の明記は確認できず。営業時間：月・木・金9:00〜16:00／土・日・祝9:00〜17:00、定休日：火・水（情報源により若干の差異あり）。,2026-06-24
WAKAN CAFE 無花果,Wakan Cafe Ichijiku,台東区,,薬膳カレー（甘口・中辛・辛口）; 薬膳タコライス; 薬膳夏野菜のキーマカレー（寝かせ玄米）; 米粉のパウンドケーキ（ベリーとクリームチーズ）,,https://wakan1149.com/,,元薬剤師が作る薬膳カレーの店。蔵前に所在（旧店名：和漢デリ無花果、東日本橋／両国から移転）。看板の薬膳カレーはグルテンフリーと複数の情報源で紹介されている。完全グルテンフリー店かどうか、交差汚染対応の明記は確認できず。番地レベルの正確な住所・電話番号は確認できなかったため空欄。,2026-06-24
結わえる 本店,YUWAERU Honten,台東区,,寝かせ玄米定食（箱膳定食）; ハレ箱膳定食; 結わえる御膳,,https://www.yuwaeru.co.jp/honten,,蔵前の寝かせ玄米（酵素玄米）定食の人気店で、ヴィーガン・グルテンフリー系の食生活ブログでも玄米メニューが紹介されている。グルテンフリー専門店ではなく、夜は酒場として季節料理・日本酒等も提供。おかずに醤油・味噌等の発酵調味料を使用するため小麦由来成分が含まれる料理がある可能性があり、セリアックの方は個別確認が必要。正確な番地・電話番号は確認できなかったため空欄。,2026-06-24
Kaokoi Curry（浅草 Gypsies Cafe 間借り）,Kaokoi Curry (at Gypsies Cafe),台東区,東京都台東区西浅草2-23-10 第2島谷ビル 2F,スパイスカレー（国産食材中心・グルテンフリー・無添加）,,https://www.favy.jp/topics/32967,,浅草Gypsies Cafe内で間借り営業するカレー店。カレーはグルテンフリー・無添加・油控えめと紹介されている。間借り営業のため営業日が限られ、共用キッチンを使用するため交差汚染の可能性がある。完全グルテンフリー店ではない。電話番号は確認できなかったため空欄。,2026-06-24
SASAYA CAFE（ささやカフェ）,SASAYA CAFE,墨田区,東京都墨田区横川1-1-10（〒130-0003）,ヴィーガンソフトクリーム（チョコバナナパフェ：グルテンフリーのチョコ／ココアスポンジ使用）; 苺のパフェ（グルテンフリーのココアスポンジ使用）,03-3623-6341,https://vegewel.com/ja/restaurant/869,,全メニューがヴィーガンの大横川親水公園沿いのカフェ。店全体がグルテンフリー専門ではなく、一部メニュー（パフェのスポンジ等）がグルテンフリー。スコーンやマフィン等の焼き菓子は小麦使用のため、グルテンフリー対応品は限定的。取材時点では『今後グルテンフリー対応を考えていきたい』との段階で、セリアック対応の専門店ではない。同一キッチンで小麦含む商品も製造しているため交差汚染（コンタミ）の懸念あり。利用前に各メニューの可否を要確認。,2026-06-24
ぱん処りべいく,Pandokoro Rebake,墨田区,東京都墨田区八広1-2-10,米粉100%パン（各種）; アレルギー28品目不使用のパン; ヴィーガン対応の米粉パン; 米粉の焼き菓子,,https://www.sumida-note.com/gourmet/rebake-bakery/,,通販・廃棄ロス削減サービスrebakeが運営する実店舗で、京成曳舟駅近く。全国のパン屋から取り寄せたグルテンフリーの米粉パン（冷凍）を販売。商品はグルテンフリー中心だが、複数の生産者から取り寄せた商品のため各商品のアレルゲン表示を要確認。イートインではなく主に販売（テイクアウト/事前予約）形態。営業日は月・水・木・金、10:00-18:00。住所表記は情報源により八広1-2-10。,2026-06-24
カフェ アムリタ,Cafe Amrita,墨田区,東京都墨田区押上1-22-3,グルテンフリースイーツ,070-5459-3039,https://cafeamrita.favy.jp/menus/99643,,押上のカフェで『グルテンフリースイーツ』のメニュー掲載を確認。具体的なスイーツの品目までは情報源で特定できなかった。グルテンフリー専門店ではなく一部メニューのみグルテンフリーと思われる。交差汚染の有無は不明のため、セリアック対応が必要な場合は事前に店舗へ要確認。,2026-06-24
POSH（ポッシュ）,POSH,江東区,東京都江東区常盤1-3-7 ラフィーヴィル清澄白河EAST 1F,旬のフルーツを使ったロータルト（常時4〜5種類、キウイ・マンゴー・バナナ等）; グルテンフリー＆ヴィーガンクッキー; 米粉ベーグル,03-6659-6922,https://posh-tea.jp/,,ロースイーツ専門のアトリエ兼カフェ。小麦・乳製品・卵・大豆・白砂糖・添加物すべて不使用で、全商品がグルテンフリー＆ヴィーガン。タルトは48℃以下の低温調理。清澄白河エリアにあり、姉妹店TUTTOが同じ建物内（EAST 2）にある。営業時間・定休日は情報源により10:00〜18:00または19:00、定休日が月曜とされる例あり。コンタミに関する明記は確認できず。,2026-06-24
TUTTO 清澄白河（トゥット）,TUTTO Kiyosumi-Shirakawa,江東区,東京都江東区常盤1-3-7 ラフィーヴィル清澄白河EAST 2,ヴィーガンクレープ（タピオカ粉・玄米粉/米粉・コーンスターチ・チアシード・豆乳・メープル使用、グルテン＆白砂糖フリー）; 米粉のワッフルコーン（アーモンドプードルと米粉使用）; 定番ヴィーガンジェラート全12種（アーモンドミルク、ブロンテピスタチオ、ヘーゼルナッツチョコレート、八女玉露抹茶、黒胡麻きなこ等）; 飲むジェラート BELATO（ベラート）,,https://tuttojapan.com/pages/our-shop,,プラントベースのクラフトヴィーガンジェラート専門店。乳・卵・白砂糖不使用。ジェラートはアーモンドミルクベース。クレープとワッフルコーンが明確にグルテンフリー仕様。ジェラート自体のグルテンフリーは確認できる範囲では原材料に小麦記載なしだが、店として完全グルテンフリー（セリアック対応）を保証する記載は確認できず。問い合わせはメール（info@tuttojapan.com）。,2026-06-24
B TO GO（ビートゥーゴー）,B TO GO,江東区,東京都江東区高橋14-2,ベジプレート（季節野菜デリ・プラントベースデリ・発酵玄米・サラダ・お豆類）; レモングラスとバジルのグリーンカレー; カシューナッツのビーガンチーズケーキ; ナッツバー; チアシードのココナツプリン; キャロットケーキ,03-6659-2714,https://b-togo.com/,,薬剤師オーナーによるビーガン＆グルテンフリーカフェ。スイーツはすべてグルテンフリー＆ヴィーガンで手作り。アレルギーや食制限がある場合は事前連絡で可能な限り対応とのこと。営業時間は情報源により差異あり（水〜土10:00〜17:00、金は夜も営業など）。完全グルテンフリー店としてのセリアック安全性の明記は確認できず。,2026-06-24
FruOats FACTORY（フルオーツファクトリー）,FruOats FACTORY,江東区,東京都江東区扇橋1丁目12-20,オートミール×おからのグルテンフリークッキー（ストロベリーピスタチオ、マンゴーココナッツ、イチジクアーモンド、アップルシナモン、オレンジチョコレート）; コーヒー; オーガニックフルーツジュース,,https://shop.fruoats.jp/,,クッキー工場兼直売所。卵・バター・小麦粉・白砂糖不使用で全商品が植物由来・ヴィーガン認証取得・グルテンフリー。ただし公式の注意書きとして「本品製造工場では小麦を含む製品を生産しています」「オレンジチョコレートの有機チョコは乳を含む製品と同じ製造現場」とのコンタミ注意あり。営業時間は情報源により『火〜土 11:00〜17:00』または『水曜除く11:00〜17:00』と差異あり。,2026-06-24
SoiCafe（旧 すてきなごちそうCAFE-Soi-）,SoiCafe,江東区,,グルテンフリーの焼き菓子,,https://prtimes.jp/main/html/rd/p/000000006.000129671.html,,2024年2月開業の温泉豆乳ヘルシーベーカリーカフェ（清澄白河・木場公園前、江東区内）。提供の中心はベーグル（塩麹チキン、サーモンクリームチーズ等）やフレンチトーストで、これらは小麦使用のため非グルテンフリー。グルテンフリーは『焼き菓子』のみと案内されており、具体的な品目名は確認できず。完全グルテンフリー店ではなく、店内で小麦を扱うためコンタミの可能性が高い。正確な番地・電話番号は今回の検索では確認できず。,2026-06-24
Lucita（ルシータ）,Lucita,品川区,東京都品川区戸越6-7-16,焼きシフォン; 米粉パンプレート; チキン南蛮; ハンバーグ; 米粉パン（テイクアウト）; 米粉シフォン（テイクアウト）; 米粉ベーグル（テイクアウト）,,https://glutenfree.empacede.co.jp/cafe-gf-tokyo/,,戸越公園駅から徒歩3分。2024年9月オープンのグルテンフリーカフェ。店主は以前から小麦粉を使わないグルテンフリーの焼き菓子やサンドイッチを製造・卸していた。ほとんどのメニューがグルテンフリーで、フードはグルテンフリーとされる。ネイルサロン併設。クロスコンタミネーションについての明記は確認できず、セリアック病対応かは要店舗確認。営業時間11:30〜17:00（金・土は22時まで）、月・火定休。,2026-06-24
グルテンフリー田んぼのパン工房 米魂,Gluten-free Tanbo no Pan Kobo Beicon,品川区,東京都品川区戸越2-6-3,米粉100%のグルテンフリーパン; 米粉のグルテンフリーシフォンケーキ（プレーン）; シフォンケーキ（紅茶）; シフォンケーキ（チョコ）; シフォンケーキ（ストロベリー&抹茶）; シフォンケーキ（カフェモカ）; キューブ プレーン; キューブ イタリアンハーブ; キューブ フィグ&アールグレイ; おやき（野沢菜）; おやき（きんぴら）; おやき（角煮）; 米粉のサクサククッキー,03-3787-4776,https://shinagawa-kanko.or.jp/featured/pan/,,戸越銀座商店街にある米粉パン専門店。米粉100%のグルテンフリーパンと、米粉80%:小麦20%のグルテン入りパンの両方を販売しているため、完全グルテンフリー店ではない。グルテンフリー対応か色分け表示で分かりやすくしている。ただし公式Instagramによると小麦を含む製品も同じ工房内で製造しているため、交差汚染（クロスコンタミネーション）の懸念があり、重度のセリアック病の方は要注意。営業時間9:00〜19:30または10:00〜20:00（情報源により差異あり）、木曜定休。,2026-06-24
グルテンフリー米粉カフェ きんのほ,Gluten-free Komeko Cafe Kinnoho (KINNOHO),品川区,東京都品川区小山3-2-6,米粉パン詰め合わせ; 米粉パン; 米粉6色タイルクッキー; 米粉クッキー; 米粉100%マフィン,03-3713-8341,https://glutenfree.empacede.co.jp/bakery-gf/,,武蔵小山駅西口から徒歩約1分。店内の商品（焼き菓子・パン）はすべて国産米の米粉から作られたグルテンフリーとされ、増粘剤・保存料・乳化剤・ドライイースト・白砂糖・マーガリンも不使用。営業時間11:00〜20:00、火曜定休。なお食べログでは営業状況が未確認（休業・移転・閉店の可能性）との表示もあるため、来店前に営業状況の確認を推奨。,2026-06-24
FOOD HOLIDAY（フードホリデー）,FOOD HOLIDAY,品川区,東京都品川区大井1-23-7 アルテール大井町1F,グルテンフリー・白砂糖不使用のアールグレイとクルミのパウンドケーキ; ブッダボウル; サラダボウル（デリ3種）; 旬野菜のスパニッシュオムレツ; アボカドエッグ; イベリコ豚の冷しゃぶサラダ; 2種類の豆を使ったスパイスカレーセット,03-6410-7117,https://shinagawa.keizai.biz/headline/4103/,,大井町駅から徒歩約1分のデリカテッセン。野菜中心のデリを提供し、ビーガン・ベジタリアン・グルテンフリーに対応すると報じられている。完全グルテンフリー店ではなく一部のメニューがグルテンフリー対応。メニューは仕入れ状況により日替わりで変わる。グルテンフリー商品のうち具体的に明記が確認できたのはアールグレイとクルミのパウンドケーキ。その他のデリのGF対応可否やクロスコンタミネーションは店舗での確認を推奨。営業時間 月〜土11:00〜21:00前後／日11:00〜17:00（情報源により差異あり）、不定休。,2026-06-24
ペドラブランカ 戸越銀座店,Pedra Branca (Togoshi Ginza),品川区,東京都品川区平塚2-14-8 1F,米粉100%のグルテンフリーホットケーキ（焼き立てホットケーキ）,,https://pedrabranca-cafe.com/,,新潟県産米粉100%を使ったグルテンフリーのホットケーキが看板商品。保存料・香料・着色料不使用、ベーキングパウダーも使わない完全無添加、はちみつ不使用。スペシャルティコーヒーも提供。営業時間8:00〜20:00（月曜は10:00〜20:00）、焼き立てホットケーキは10:00〜17:00。戸越公園店（製造工房・テイクアウト：品川区戸越4-8-6）もある。クロスコンタミネーションやセリアック対応については店舗での確認を推奨。,2026-06-24
& OIMO TOKYO CAFE 中目黒店,& OIMO TOKYO CAFE Nakameguro,目黒区,東京都目黒区青葉台1-14-4 CONTRAL nakameguro 1F,蜜芋バスクチーズケーキ; 蜜芋モンブラン; 林檎とゴルゴンゾーラの蜜芋パウンドケーキ; やまえ栗の蜜芋パウンドケーキ; 蜜芋抹茶テリーヌショコラ; 蜜芋プリンソフト; こぼれ蜜芋モンブランパフェ; ベーコンとポルチーニ茸の蜜芋キッシュ（グルテンフリー生地）; ゴルゴンゾーラの蜜芋ニョッキ（米粉・タピオカ粉使用）; 季節の新鮮野菜とさつまいものスパイシーバターチキンカレー（十六雑穀米）; さつまいも2種のふわふわパンケーキ; 蜜芋プリンアラモード; 桜舞う蜜芋モンブランパンケーキ; 桜色のヨーグルトアサイーボウル（米粉グラノーラ）,03-6416-4908,https://www.tablecheck.com/ja/and-oimo-tokyo,,ザ・ペニンシュラ東京に本店を構える熟成蜜芋スイーツ専門店の旗艦カフェ。スイーツはすべてグルテンフリー・ショートニング/上白糖不使用で、食事メニュー（キッシュ、ニョッキ、カレー等）もグルテンフリー対応。専用GFキッチンの記載はなく、セリアック向けの完全分離・クロスコンタミ対策の明記は確認できなかったため、重篤なアレルギーの方は事前確認推奨。完全キャッシュレス。営業時間は月〜金9:00-18:00、土日祝9:00-19:00。,2026-06-24
Sweets さつき,Sweets Satsuki,目黒区,東京都目黒区碑文谷1-21-14,シュークリーム; さつきのショートケーキ; 明日葉SOYロール（ロールケーキ）; 米粉100%のケーキ各種; 焼き菓子各種; 卵・乳成分不使用の大豆スイーツ; デコレーション/記念日ケーキ（要予約）,03-3760-0478,https://www.city.meguro.tokyo.jp/sangyoukeizai/shigoto/sangyou/sweets_satsuki.html,,2009年開業、2010年より米粉スイーツ専門店に。生菓子・焼き菓子はすべて米粉100%・小麦粉不使用で、約7年前から完全グルテンフリー（パンの取扱いをやめた経緯あり）。ただし公式サイトによれば同じ製造場で卵・乳成分を使用した商品も作っているため、乳・卵アレルギーの方は要注意。営業時間10:00-18:00、定休日 火・水・木（祝日営業）。学芸大学駅または西小山駅から徒歩約15分。,2026-06-24
レインボーバードランデヴー,Rainbow Bird Rendezvous,目黒区,東京都目黒区祐天寺1-1-1 リベルタ祐天寺1階,ハンバーグプレート（大豆ハンバーグ／グルテンフリー）; 自家製ソフトクリーム（乳・卵・白砂糖不使用、ナッツミルクベース）,,https://www.favy.jp/topics/29279,,2007年オープンの100%ヴィーガンカフェ。全メニューがGFではなく、各メニューに「LG（グルテンが少ない）」等の表示があり選んで注文できる方式。例えば大豆のハンバーグはグルテンフリーだが、ヴィーガンバーガーのバンズは天然酵母パン（小麦）を使用。GF表示は『LG=グルテンが少ない』であり完全GF/セリアック対応店ではない点に注意。テイクアウト・デリバリーあり。,2026-06-24
Ballon（バロン）,Ballon,目黒区,東京都目黒区中目黒3-2-19 ラミアール中目黒104,グルテンフリーのグラノーラ（ソフトクリームのトッピング）; 植物性100%ヴィーガンソフトクリーム（豆乳・甘酒・アガベシロップ）,03-3712-0087,https://jonan.i-nest.co.jp/5993/,,ヴィーガンのファラフェル＆アイスクリーム専門店。グルテンフリー専門店ではなく、GFはソフトクリームのトッピングのグラノーラなど一部のみ。ファラフェルサンドはピタパン（小麦）を使用するため、GF希望の場合は要確認。クロスコンタミ対策の明記なし。,2026-06-24
MILLER CAKE STORE,Miller Cake Store,目黒区,,米粉のケーキ各種; 米粉の焼き菓子; 米粉のシナモンロール（試作・販売状況により変動）,,https://www.miller-cake-store.com,,2020年8月に中目黒にオープンしたテイクアウト＆ネット販売専門店。米粉使用の完全グルテンフリースイーツ・焼き菓子で、添加物・白砂糖・保存料・着色料不使用。イートインではなくテイクアウト/通販中心。中目黒の正確な番地は今回の検索では確認できなかったため住所は空欄（公式サイト/Instagramで要確認）。,2026-06-24
IYOTO（いよと）,IYOTO,目黒区,,米粉パン各種; 米粉スイーツ各種,,https://iyoto.jp/product,,目黒区の米粉パン・米粉スイーツ専門店。国産米「あさひの夢」100%を使用し、商品はすべてグルテンフリー、かつサイリウムハスク不使用のため小麦アレルギーやサイリウムが合わない方にも対応。営業時間 平日10:00-19:00／土日祝10:00-18:00。具体的な番地は今回の検索では取得できず住所は空欄（公式サイトで要確認）。物販中心。,2026-06-24
Nanala（ナナラ）,Nanala,大田区,東京都大田区鵜の木2-48-4（ランスアン内）,米粉のピザ; 米粉パンのクラブハウスサンド; 米粉のパニーニ; 米粉のフレンチトースト; 自家製スープ; オーガニック野菜のサラダ; 豆乳シフォンケーキ; マフィン; どうぶつ型のクッキー; 焼き菓子,,https://otakushoren.com/gourmet/138639,,米粉のお菓子・パンを作るグルテンフリー専門店。小麦粉・白砂糖・保存料・着色料不使用、オーガニック食材を積極使用、ビーガン対応。営業は毎週月曜日のみ（10:00〜18:00、ランチ11:30〜14:00）と限定的。完全グルテンフリーの店だが、交差汚染に関する明示的な記載は確認できず。,2026-06-24
second（セカンド）,second,大田区,東京都大田区西蒲田1-2-12 カマタブリッヂ103,からあげ定食（国産鶏もも肉の塩麹漬け唐揚げ＋日替りデリ2種）; デリ定食（日替りデリ7種）; 雑穀米ごはん; 自家製ぬか漬けなどの漬物; 味噌汁,,https://otakushoren.com/feature/149213,,「たっぷりお野菜 ゆるっと発酵」がコンセプト。メニューは全てグルテンフリーと取材記事に記載。JR蒲田駅西口から徒歩12分。営業：木〜日11:30〜22:00（L.O.21:00）、定休日：月火水。交差汚染に関する明示的記載は確認できず。,2026-06-24
YOICHI（ヨイチ）,YOICHI,大田区,東京都大田区東糀谷4-10-22,オリジナルスパイスカレー（ワンプレート、季節の野菜サラダ付き）,,https://otakushoren.com/feature/149213,,築70年の木造家屋をリノベーションした店。グルテンフリーのオリジナルスパイスカレーを沖縄の伝統皿で提供。手作りスイーツやドリンクもあり。京急空港線大鳥居駅より徒歩6分。営業：金土日11:00〜14:30、定休日：月〜木。カレーがGFと記載されているが店舗全体が完全GFかは確認できず、交差汚染に関する記載もなし。,2026-06-24
Edo café（エドカフェ）,Edo café,大田区,東京都大田区田園調布本町45-3,江戸パン（米粉100%のグルテンフリーパン）; ノンオイル米粉シフォンケーキ; グルテンフリーチーズケーキ,,https://otakushoren.com/feature/159189,,園芸店の一画にあるカフェ。米粉100%・グルテンフリーの「江戸パン」のほか、米粉シフォンやGFチーズケーキを提供。オーガニック・無添加素材にこだわる。東急多摩川線多摩川駅・沼部駅から徒歩10分。営業：金・土・日 10:30〜17:00（L.O.16:00）。店舗全体が完全GFかは不明で、一部GFアイテム提供の位置づけ。交差汚染の記載なし。,2026-06-24
Belle Couleur（ベル・クルール）,Belle Couleur,大田区,東京都大田区大森北6-27-15,平和島チーズケーキ（バスク風チーズケーキ、税込300円）,,https://unique-ota.city.ota.tokyo.jp/charm/gourmet/pickup-202508-01/,,洋食メニューが評判のカフェだが、名物の「平和島チーズケーキ」がグルテンフリースイーツとして紹介されている。店舗前の自販機でも購入可。営業（カフェ）：ランチ11:30〜15:30（L.O.15:00）、ディナーは予約のみ、定休日不定休。店舗全体は通常の洋食店であり、GFはチーズケーキ等の一部のみ。交差汚染に関する記載なし（一般の洋食キッチンと共用と推測されるため要注意）。,2026-06-24
T.SWEETS.LABO.（ティースイーツラボ）,T.SWEETS.LABO.,大田区,東京都大田区上池台1-21-3 グラン北澤1F,極醸ふろまーじゅ（糀甘酒チーズケーキ）; 米粉のバターサンド（税込540円）; とろとろプリン; 米粉のロールケーキ; 米粉のビスケット; オーガニックチョコレートのガトーショコラ; 米粉クレープ（連休限定）; かき氷（夏期）,03-6425-8767,https://otakushoren.com/gourmet/106758,,小麦粉・白砂糖・添加物を一切使わない完全グルテンフリーのスイーツ工房。糀甘酒・国産米粉など和の発酵食材を使用。基本は通販と毎週日曜・祝日の店頭販売（「にちようびのぷりん屋さん」12:00〜18:00、売切れ次第終了）、平日は予約販売。定休日：水。工房自体がGF専業のため交差汚染リスクは低いと考えられるが、明示的記載はなし。,2026-06-24
wagashi asobi（ワガシアソビ）,wagashi asobi,大田区,東京都大田区上池台1-16-2,"ドライフルーツの羊羹（北海道産小豆の餡＋黒糖＋ラム酒、苺・無花果・胡桃入り、1棹税込2,500円）; ハーブのらくがん（店頭販売のみ）",03-3748-3539,https://otakushoren.com/gourmet/105434,,2人の和菓子職人による創作和菓子ユニットのアトリエ店。主力商品「ドライフルーツの羊羹」は小麦を使わない和菓子で、グルテンフリースイーツ特集で紹介されている。東急池上線長原駅近く。営業：10:00〜17:00、定休日：日曜不定休。和菓子店であり店として「グルテンフリー対応」を公式に掲げているわけではない点に留意。住所は資料間で一部相違あり（るるぶでは北馬込2-31-6と記載）。交差汚染の記載なし。,2026-06-24
Comme'N GLUTEN FREE（コム・ン グルテンフリー）,Comme'N GLUTEN FREE,世田谷区,〒158-0083 東京都世田谷区奥沢7-19-12,"カスタムサンドウィッチ（パン・具材・ソースを選ぶ、10,000通り以上）; たまごサンド; ジャンボン・ブール; バゲット; メロンパン; あんぱん; クリームパン; クロックムッシュ; ミルクフランス; カヌレ; シフォンケーキ; スコーン（プレーン・チョコ・抹茶）; スムージー",03-6432-3514,https://commen-gf.jp/,,完全グルテンフリー専門店。パン世界大会で日本人初優勝した大澤秀一シェフが手がけ、小麦アレルギー経験者のスタッフの声から生まれた。パン・具材・ソースすべてがグルテンフリー仕様で、小麦を一切使用しないと公式に明記。営業時間・定休日は情報源により差があり（7:00～18:00／火・水休、または10:00～17:00／無休との記載）、訪問前に確認推奨。,2026-06-24
グルテンフリーカフェ タマクーヘン,Gluten Free Cafe Tamakuchen,世田谷区,〒158-0094 東京都世田谷区玉川3-20-1 名川ビル1F,バームクーヘン（国産有機玄米全粒粉100%・無添加）; ニコパン（高級食パン／小麦・乳・卵不使用）; トースト; 焼き菓子; アールグレイチーズケーキ; ソフトクリーム; デザート各種,03-6805-7443,https://tamcafe.jp/,,二子玉川のグルテンフリー専門カフェ。2018年4月オープン。バームクーヘンは国産有機玄米全粒粉100%使用で小麦粉・ベーキングパウダー・ショートニング不使用。店内でトーストやデザートを飲食可、テイクアウトも可能。別途「世田谷ファクトリー（世田谷区鎌田4-6-11、TEL 03-3415-0233）」あり。完全グルテンフリーをうたうが、交差汚染に関する具体的な明記は確認できず。営業時間 平日10:00～18:00、土日祝10:00～19:00、定休日12/30～1/3。,2026-06-24
洋菓子店とコーヒー シモキタシマイ,Patisserie & Coffee Shimokitashimai,世田谷区,東京都世田谷区代沢4-15-2,ベイクドチーズケーキ; レアチーズケーキ; シフォンケーキ; ガトーショコラ; コーヒーブレイクケーキ; ラムチョコレートケーキ; いちじくと自家製キャラメルのバターケーキ; 抹茶と大納言のバターケーキ; レモンバターケーキ; 紅茶とプルーンのバターケーキ; フィナンシェ; 各種クッキー（ディアマン・ガレットサブレ等）,,https://sis902243.owndshop.com/,,下北沢・三軒茶屋が最寄りの姉妹経営の洋菓子店＆カフェ。焼き菓子・ケーキはグルテンフリーで、北海道産米粉を使用し白砂糖・香料・保存料・添加物不使用。テイクアウト・デリバリーも可。デリバリー（menu）の表記では別住所「三軒茶屋2-11-26 コア第2ビル1F」も見られるため、店舗所在地は訪問前に確認推奨。定休日は日〜水曜（情報源による）。交差汚染に関する明記は確認できず。,2026-06-24
